path,true_label,pred_label,probability,error_type,confidence_margin
data/raw/chest_xray/test/NORMAL/test_normal_00016.jpeg,Normal,Pneumonia,0.9791,FP,0.4791
data/raw/chest_xray/test/NORMAL/test_normal_00040.jpeg,Normal,Pneumonia,0.915,FP,0.415
data/raw/chest_xray/test/NORMAL/test_normal_00045.jpeg,Normal,Pneumonia,0.9812,FP,0.4812
data/raw/chest_xray/test/NORMAL/test_normal_00052.jpeg,Normal,Pneumonia,0.9683,FP,0.4683
data/raw/chest_xray/test/NORMAL/test_normal_00056.jpeg,Normal,Pneumonia,0.9496,FP,0.4496
data/raw/chest_xray/test/NORMAL/test_normal_00066.jpeg,Normal,Pneumonia,0.5972,FP,0.0972
data/raw/chest_xray/test/NORMAL/test_normal_00067.jpeg,Normal,Pneumonia,0.9448,FP,0.4448
data/raw/chest_xray/test/NORMAL/test_normal_00094.jpeg,Normal,Pneumonia,0.5469,FP,0.0469
data/raw/chest_xray/test/NORMAL/test_normal_00095.jpeg,Normal,Pneumonia,0.5469,FP,0.0469
data/raw/chest_xray/test/NORMAL/test_normal_00119.jpeg,Normal,Pneumonia,0.9236,FP,0.4236
data/raw/chest_xray/test/NORMAL/test_normal_00120.jpeg,Normal,Pneumonia,0.9108,FP,0.4108
data/raw/chest_xray/test/NORMAL/test_normal_00121.jpeg,Normal,Pneumonia,0.9782,FP,0.4782
data/raw/chest_xray/test/NORMAL/test_normal_00122.jpeg,Normal,Pneumonia,0.5178,FP,0.0178
data/raw/chest_xray/test/NORMAL/test_normal_00123.jpeg,Normal,Pneumonia,0.8719,FP,0.3719
data/raw/chest_xray/test/NORMAL/test_normal_00124.jpeg,Normal,Pneumonia,0.9142,FP,0.4142
data/raw/chest_xray/test/NORMAL/test_normal_00126.jpeg,Normal,Pneumonia,0.9832,FP,0.4832
data/raw/chest_xray/test/NORMAL/test_normal_00129.jpeg,Normal,Pneumonia,0.9135,FP,0.4135
data/raw/chest_xray/test/NORMAL/test_normal_00130.jpeg,Normal,Pneumonia,0.7832,FP,0.2832
data/raw/chest_xray/test/NORMAL/test_normal_00131.jpeg,Normal,Pneumonia,0.5059,FP,0.0059
data/raw/chest_xray/test/NORMAL/test_normal_00133.jpeg,Normal,Pneumonia,0.9772,FP,0.4772
data/raw/chest_xray/test/NORMAL/test_normal_00134.jpeg,Normal,Pneumonia,0.9634,FP,0.4634
data/raw/chest_xray/test/NORMAL/test_normal_00135.jpeg,Normal,Pneumonia,0.949,FP,0.449
data/raw/chest_xray/test/NORMAL/test_normal_00140.jpeg,Normal,Pneumonia,0.9764,FP,0.4764
data/raw/chest_xray/test/NORMAL/test_normal_00143.jpeg,Normal,Pneumonia,0.9633,FP,0.4633
data/raw/chest_xray/test/NORMAL/test_normal_00144.jpeg,Normal,Pneumonia,0.9799,FP,0.4799
data/raw/chest_xray/test/NORMAL/test_normal_00145.jpeg,Normal,Pneumonia,0.7712,FP,0.2712
data/raw/chest_xray/test/NORMAL/test_normal_00146.jpeg,Normal,Pneumonia,0.7101,FP,0.2101
data/raw/chest_xray/test/NORMAL/test_normal_00153.jpeg,Normal,Pneumonia,0.7784,FP,0.2784
data/raw/chest_xray/test/NORMAL/test_normal_00160.jpeg,Normal,Pneumonia,0.938,FP,0.438
data/raw/chest_xray/test/NORMAL/test_normal_00173.jpeg,Normal,Pneumonia,0.7012,FP,0.2012
data/raw/chest_xray/test/NORMAL/test_normal_00181.jpeg,Normal,Pneumonia,0.967,FP,0.467
data/raw/chest_xray/test/NORMAL/test_normal_00193.jpeg,Normal,Pneumonia,0.9307,FP,0.4307
data/raw/chest_xray/test/NORMAL/test_normal_00197.jpeg,Normal,Pneumonia,0.8996,FP,0.3996
data/raw/chest_xray/test/NORMAL/test_normal_00209.jpeg,Normal,Pneumonia,0.9675,FP,0.4675
data/raw/chest_xray/test/NORMAL/test_normal_00221.jpeg,Normal,Pneumonia,0.6151,FP,0.1151
data/raw/chest_xray/test/NORMAL/test_normal_00226.jpeg,Normal,Pneumonia,0.7216,FP,0.2216
data/raw/chest_xray/test/NORMAL/test_normal_00228.jpeg,Normal,Pneumonia,0.9671,FP,0.4671
data/raw/chest_xray/test/NORMAL/test_normal_00230.jpeg,Normal,Pneumonia,0.7396,FP,0.2396
data/raw/chest_xray/test/PNEUMONIA/test_pneumonia_00282.jpeg,Pneumonia,Normal,0.2879,FN,0.2121
data/raw/chest_xray/test/PNEUMONIA/test_pneumonia_00388.jpeg,Pneumonia,Normal,0.4132,FN,0.0868
data/raw/chest_xray/test/PNEUMONIA/test_pneumonia_00390.jpeg,Pneumonia,Normal,0.3033,FN,0.1967
data/raw/chest_xray/test/PNEUMONIA/test_pneumonia_00391.jpeg,Pneumonia,Normal,0.0439,FN,0.4561
data/raw/chest_xray/test/PNEUMONIA/test_pneumonia_00420.jpeg,Pneumonia,Normal,0.2154,FN,0.2846
data/raw/chest_xray/test/PNEUMONIA/test_pneumonia_00473.jpeg,Pneumonia,Normal,0.0527,FN,0.4473
data/raw/chest_xray/test/PNEUMONIA/test_pneumonia_00496.jpeg,Pneumonia,Normal,0.2341,FN,0.2659
data/raw/chest_xray/test/PNEUMONIA/test_pneumonia_00524.jpeg,Pneumonia,Normal,0.49,FN,0.01
data/raw/chest_xray/test/PNEUMONIA/test_pneumonia_00525.jpeg,Pneumonia,Normal,0.0632,FN,0.4368
data/raw/chest_xray/test/PNEUMONIA/test_pneumonia_00529.jpeg,Pneumonia,Normal,0.2753,FN,0.2247
data/raw/chest_xray/test/PNEUMONIA/test_pneumonia_00541.jpeg,Pneumonia,Normal,0.1928,FN,0.3072
data/raw/chest_xray/test/PNEUMONIA/test_pneumonia_00567.jpeg,Pneumonia,Normal,0.3533,FN,0.1467
data/raw/chest_xray/test/PNEUMONIA/test_pneumonia_00599.jpeg,Pneumonia,Normal,0.1383,FN,0.3617
