path,true_label,pred_label,probability,error_type,confidence_margin
data/raw/chest_xray/test/NORMAL/test_normal_00016.jpeg,Normal,Pneumonia,0.9495,FP,0.4495
data/raw/chest_xray/test/NORMAL/test_normal_00045.jpeg,Normal,Pneumonia,0.9546,FP,0.4546
data/raw/chest_xray/test/NORMAL/test_normal_00052.jpeg,Normal,Pneumonia,0.9032,FP,0.4032
data/raw/chest_xray/test/NORMAL/test_normal_00066.jpeg,Normal,Pneumonia,0.5968,FP,0.0968
data/raw/chest_xray/test/NORMAL/test_normal_00080.jpeg,Normal,Pneumonia,0.5953,FP,0.0953
data/raw/chest_xray/test/NORMAL/test_normal_00117.jpeg,Normal,Pneumonia,0.562,FP,0.062
data/raw/chest_xray/test/NORMAL/test_normal_00118.jpeg,Normal,Pneumonia,0.562,FP,0.062
data/raw/chest_xray/test/NORMAL/test_normal_00119.jpeg,Normal,Pneumonia,0.743,FP,0.243
data/raw/chest_xray/test/NORMAL/test_normal_00120.jpeg,Normal,Pneumonia,0.5012,FP,0.0012
data/raw/chest_xray/test/NORMAL/test_normal_00122.jpeg,Normal,Pneumonia,0.6778,FP,0.1778
data/raw/chest_xray/test/NORMAL/test_normal_00123.jpeg,Normal,Pneumonia,0.7545,FP,0.2545
data/raw/chest_xray/test/NORMAL/test_normal_00124.jpeg,Normal,Pneumonia,0.7461,FP,0.2461
data/raw/chest_xray/test/NORMAL/test_normal_00126.jpeg,Normal,Pneumonia,0.9683,FP,0.4683
data/raw/chest_xray/test/NORMAL/test_normal_00129.jpeg,Normal,Pneumonia,0.732,FP,0.232
data/raw/chest_xray/test/NORMAL/test_normal_00130.jpeg,Normal,Pneumonia,0.5332,FP,0.0332
data/raw/chest_xray/test/NORMAL/test_normal_00131.jpeg,Normal,Pneumonia,0.5887,FP,0.0887
data/raw/chest_xray/test/NORMAL/test_normal_00132.jpeg,Normal,Pneumonia,0.5915,FP,0.0915
data/raw/chest_xray/test/NORMAL/test_normal_00133.jpeg,Normal,Pneumonia,0.7046,FP,0.2046
data/raw/chest_xray/test/NORMAL/test_normal_00134.jpeg,Normal,Pneumonia,0.5972,FP,0.0972
data/raw/chest_xray/test/NORMAL/test_normal_00135.jpeg,Normal,Pneumonia,0.8564,FP,0.3564
data/raw/chest_xray/test/NORMAL/test_normal_00140.jpeg,Normal,Pneumonia,0.919,FP,0.419
data/raw/chest_xray/test/NORMAL/test_normal_00141.jpeg,Normal,Pneumonia,0.8003,FP,0.3003
data/raw/chest_xray/test/NORMAL/test_normal_00143.jpeg,Normal,Pneumonia,0.8939,FP,0.3939
data/raw/chest_xray/test/NORMAL/test_normal_00144.jpeg,Normal,Pneumonia,0.9741,FP,0.4741
data/raw/chest_xray/test/NORMAL/test_normal_00145.jpeg,Normal,Pneumonia,0.9262,FP,0.4262
data/raw/chest_xray/test/NORMAL/test_normal_00147.jpeg,Normal,Pneumonia,0.5212,FP,0.0212
data/raw/chest_xray/test/NORMAL/test_normal_00181.jpeg,Normal,Pneumonia,0.8635,FP,0.3635
data/raw/chest_xray/test/NORMAL/test_normal_00209.jpeg,Normal,Pneumonia,0.9258,FP,0.4258
data/raw/chest_xray/test/NORMAL/test_normal_00217.jpeg,Normal,Pneumonia,0.5508,FP,0.0508
data/raw/chest_xray/test/NORMAL/test_normal_00226.jpeg,Normal,Pneumonia,0.5231,FP,0.0231
data/raw/chest_xray/test/NORMAL/test_normal_00228.jpeg,Normal,Pneumonia,0.9425,FP,0.4425
data/raw/chest_xray/test/PNEUMONIA/test_pneumonia_00282.jpeg,Pneumonia,Normal,0.1875,FN,0.3125
data/raw/chest_xray/test/PNEUMONIA/test_pneumonia_00382.jpeg,Pneumonia,Normal,0.4247,FN,0.0753
data/raw/chest_xray/test/PNEUMONIA/test_pneumonia_00390.jpeg,Pneumonia,Normal,0.3873,FN,0.1127
data/raw/chest_xray/test/PNEUMONIA/test_pneumonia_00391.jpeg,Pneumonia,Normal,0.1202,FN,0.3798
data/raw/chest_xray/test/PNEUMONIA/test_pneumonia_00420.jpeg,Pneumonia,Normal,0.0832,FN,0.4168
data/raw/chest_xray/test/PNEUMONIA/test_pneumonia_00463.jpeg,Pneumonia,Normal,0.4737,FN,0.0263
data/raw/chest_xray/test/PNEUMONIA/test_pneumonia_00473.jpeg,Pneumonia,Normal,0.0104,FN,0.4896
data/raw/chest_xray/test/PNEUMONIA/test_pneumonia_00503.jpeg,Pneumonia,Normal,0.3979,FN,0.1021
data/raw/chest_xray/test/PNEUMONIA/test_pneumonia_00511.jpeg,Pneumonia,Normal,0.4102,FN,0.0898
data/raw/chest_xray/test/PNEUMONIA/test_pneumonia_00529.jpeg,Pneumonia,Normal,0.4417,FN,0.0583
data/raw/chest_xray/test/PNEUMONIA/test_pneumonia_00541.jpeg,Pneumonia,Normal,0.42,FN,0.08
data/raw/chest_xray/test/PNEUMONIA/test_pneumonia_00567.jpeg,Pneumonia,Normal,0.3235,FN,0.1765
data/raw/chest_xray/test/PNEUMONIA/test_pneumonia_00581.jpeg,Pneumonia,Normal,0.2358,FN,0.2642
