path,true_label,pred_label,probability,error_type,confidence_margin
data/raw/chest_xray/test/NORMAL/test_normal_00011.jpeg,Normal,Pneumonia,0.5312,FP,0.0312
data/raw/chest_xray/test/NORMAL/test_normal_00016.jpeg,Normal,Pneumonia,0.9786,FP,0.4786
data/raw/chest_xray/test/NORMAL/test_normal_00022.jpeg,Normal,Pneumonia,0.6009,FP,0.1009
data/raw/chest_xray/test/NORMAL/test_normal_00030.jpeg,Normal,Pneumonia,0.6052,FP,0.1052
data/raw/chest_xray/test/NORMAL/test_normal_00040.jpeg,Normal,Pneumonia,0.9271,FP,0.4271
data/raw/chest_xray/test/NORMAL/test_normal_00045.jpeg,Normal,Pneumonia,0.9847,FP,0.4847
data/raw/chest_xray/test/NORMAL/test_normal_00046.jpeg,Normal,Pneumonia,0.9027,FP,0.4027
data/raw/chest_xray/test/NORMAL/test_normal_00048.jpeg,Normal,Pneumonia,0.5179,FP,0.0179
data/raw/chest_xray/test/NORMAL/test_normal_00049.jpeg,Normal,Pneumonia,0.5397,FP,0.0397
data/raw/chest_xray/test/NORMAL/test_normal_00052.jpeg,Normal,Pneumonia,0.9656,FP,0.4656
data/raw/chest_xray/test/NORMAL/test_normal_00056.jpeg,Normal,Pneumonia,0.8786,FP,0.3786
data/raw/chest_xray/test/NORMAL/test_normal_00058.jpeg,Normal,Pneumonia,0.7584,FP,0.2584
data/raw/chest_xray/test/NORMAL/test_normal_00059.jpeg,Normal,Pneumonia,0.9063,FP,0.4063
data/raw/chest_xray/test/NORMAL/test_normal_00062.jpeg,Normal,Pneumonia,0.6621,FP,0.1621
data/raw/chest_xray/test/NORMAL/test_normal_00066.jpeg,Normal,Pneumonia,0.9573,FP,0.4573
data/raw/chest_xray/test/NORMAL/test_normal_00067.jpeg,Normal,Pneumonia,0.9784,FP,0.4784
data/raw/chest_xray/test/NORMAL/test_normal_00080.jpeg,Normal,Pneumonia,0.9427,FP,0.4427
data/raw/chest_xray/test/NORMAL/test_normal_00088.jpeg,Normal,Pneumonia,0.7964,FP,0.2964
data/raw/chest_xray/test/NORMAL/test_normal_00093.jpeg,Normal,Pneumonia,0.898,FP,0.398
data/raw/chest_xray/test/NORMAL/test_normal_00094.jpeg,Normal,Pneumonia,0.5167,FP,0.0167
data/raw/chest_xray/test/NORMAL/test_normal_00095.jpeg,Normal,Pneumonia,0.5167,FP,0.0167
data/raw/chest_xray/test/NORMAL/test_normal_00101.jpeg,Normal,Pneumonia,0.6072,FP,0.1072
data/raw/chest_xray/test/NORMAL/test_normal_00103.jpeg,Normal,Pneumonia,0.7992,FP,0.2992
data/raw/chest_xray/test/NORMAL/test_normal_00104.jpeg,Normal,Pneumonia,0.7674,FP,0.2674
data/raw/chest_xray/test/NORMAL/test_normal_00105.jpeg,Normal,Pneumonia,0.9101,FP,0.4101
data/raw/chest_xray/test/NORMAL/test_normal_00108.jpeg,Normal,Pneumonia,0.8696,FP,0.3696
data/raw/chest_xray/test/NORMAL/test_normal_00110.jpeg,Normal,Pneumonia,0.6527,FP,0.1527
data/raw/chest_xray/test/NORMAL/test_normal_00113.jpeg,Normal,Pneumonia,0.8026,FP,0.3026
data/raw/chest_xray/test/NORMAL/test_normal_00115.jpeg,Normal,Pneumonia,0.8707,FP,0.3707
data/raw/chest_xray/test/NORMAL/test_normal_00116.jpeg,Normal,Pneumonia,0.6886,FP,0.1886
data/raw/chest_xray/test/NORMAL/test_normal_00119.jpeg,Normal,Pneumonia,0.9681,FP,0.4681
data/raw/chest_xray/test/NORMAL/test_normal_00120.jpeg,Normal,Pneumonia,0.8865,FP,0.3865
data/raw/chest_xray/test/NORMAL/test_normal_00121.jpeg,Normal,Pneumonia,0.9758,FP,0.4758
data/raw/chest_xray/test/NORMAL/test_normal_00122.jpeg,Normal,Pneumonia,0.9482,FP,0.4482
data/raw/chest_xray/test/NORMAL/test_normal_00123.jpeg,Normal,Pneumonia,0.9782,FP,0.4782
data/raw/chest_xray/test/NORMAL/test_normal_00124.jpeg,Normal,Pneumonia,0.9758,FP,0.4758
data/raw/chest_xray/test/NORMAL/test_normal_00126.jpeg,Normal,Pneumonia,0.9772,FP,0.4772
data/raw/chest_xray/test/NORMAL/test_normal_00128.jpeg,Normal,Pneumonia,0.8854,FP,0.3854
data/raw/chest_xray/test/NORMAL/test_normal_00129.jpeg,Normal,Pneumonia,0.9663,FP,0.4663
data/raw/chest_xray/test/NORMAL/test_normal_00130.jpeg,Normal,Pneumonia,0.9508,FP,0.4508
data/raw/chest_xray/test/NORMAL/test_normal_00131.jpeg,Normal,Pneumonia,0.9247,FP,0.4247
data/raw/chest_xray/test/NORMAL/test_normal_00132.jpeg,Normal,Pneumonia,0.9666,FP,0.4666
data/raw/chest_xray/test/NORMAL/test_normal_00133.jpeg,Normal,Pneumonia,0.9703,FP,0.4703
data/raw/chest_xray/test/NORMAL/test_normal_00134.jpeg,Normal,Pneumonia,0.9745,FP,0.4745
data/raw/chest_xray/test/NORMAL/test_normal_00135.jpeg,Normal,Pneumonia,0.9591,FP,0.4591
data/raw/chest_xray/test/NORMAL/test_normal_00136.jpeg,Normal,Pneumonia,0.9771,FP,0.4771
data/raw/chest_xray/test/NORMAL/test_normal_00137.jpeg,Normal,Pneumonia,0.738,FP,0.238
data/raw/chest_xray/test/NORMAL/test_normal_00138.jpeg,Normal,Pneumonia,0.726,FP,0.226
data/raw/chest_xray/test/NORMAL/test_normal_00139.jpeg,Normal,Pneumonia,0.726,FP,0.226
data/raw/chest_xray/test/NORMAL/test_normal_00140.jpeg,Normal,Pneumonia,0.9784,FP,0.4784
data/raw/chest_xray/test/NORMAL/test_normal_00141.jpeg,Normal,Pneumonia,0.577,FP,0.077
data/raw/chest_xray/test/NORMAL/test_normal_00142.jpeg,Normal,Pneumonia,0.8618,FP,0.3618
data/raw/chest_xray/test/NORMAL/test_normal_00143.jpeg,Normal,Pneumonia,0.9741,FP,0.4741
data/raw/chest_xray/test/NORMAL/test_normal_00144.jpeg,Normal,Pneumonia,0.9843,FP,0.4843
data/raw/chest_xray/test/NORMAL/test_normal_00145.jpeg,Normal,Pneumonia,0.9727,FP,0.4727
data/raw/chest_xray/test/NORMAL/test_normal_00146.jpeg,Normal,Pneumonia,0.9006,FP,0.4006
data/raw/chest_xray/test/NORMAL/test_normal_00147.jpeg,Normal,Pneumonia,0.5508,FP,0.0508
data/raw/chest_xray/test/NORMAL/test_normal_00153.jpeg,Normal,Pneumonia,0.7476,FP,0.2476
data/raw/chest_xray/test/NORMAL/test_normal_00158.jpeg,Normal,Pneumonia,0.5398,FP,0.0398
data/raw/chest_xray/test/NORMAL/test_normal_00160.jpeg,Normal,Pneumonia,0.914,FP,0.414
data/raw/chest_xray/test/NORMAL/test_normal_00165.jpeg,Normal,Pneumonia,0.5034,FP,0.0034
data/raw/chest_xray/test/NORMAL/test_normal_00166.jpeg,Normal,Pneumonia,0.6682,FP,0.1682
data/raw/chest_xray/test/NORMAL/test_normal_00173.jpeg,Normal,Pneumonia,0.5289,FP,0.0289
data/raw/chest_xray/test/NORMAL/test_normal_00181.jpeg,Normal,Pneumonia,0.9696,FP,0.4696
data/raw/chest_xray/test/NORMAL/test_normal_00182.jpeg,Normal,Pneumonia,0.9705,FP,0.4705
data/raw/chest_xray/test/NORMAL/test_normal_00188.jpeg,Normal,Pneumonia,0.6891,FP,0.1891
data/raw/chest_xray/test/NORMAL/test_normal_00193.jpeg,Normal,Pneumonia,0.9246,FP,0.4246
