path,true_label,pred_label,probability,error_type,confidence_margin
data/raw/chest_xray/test/NORMAL/test_normal_00008.jpeg,Normal,Pneumonia,0.8014,FP,0.3014
data/raw/chest_xray/test/NORMAL/test_normal_00011.jpeg,Normal,Pneumonia,0.6382,FP,0.1382
data/raw/chest_xray/test/NORMAL/test_normal_00012.jpeg,Normal,Pneumonia,0.6724,FP,0.1724
data/raw/chest_xray/test/NORMAL/test_normal_00014.jpeg,Normal,Pneumonia,0.9189,FP,0.4189
data/raw/chest_xray/test/NORMAL/test_normal_00016.jpeg,Normal,Pneumonia,0.9825,FP,0.4825
data/raw/chest_xray/test/NORMAL/test_normal_00030.jpeg,Normal,Pneumonia,0.5354,FP,0.0354
data/raw/chest_xray/test/NORMAL/test_normal_00040.jpeg,Normal,Pneumonia,0.9333,FP,0.4333
data/raw/chest_xray/test/NORMAL/test_normal_00045.jpeg,Normal,Pneumonia,0.9843,FP,0.4843
data/raw/chest_xray/test/NORMAL/test_normal_00046.jpeg,Normal,Pneumonia,0.5865,FP,0.0865
data/raw/chest_xray/test/NORMAL/test_normal_00052.jpeg,Normal,Pneumonia,0.962,FP,0.462
data/raw/chest_xray/test/NORMAL/test_normal_00056.jpeg,Normal,Pneumonia,0.9749,FP,0.4749
data/raw/chest_xray/test/NORMAL/test_normal_00059.jpeg,Normal,Pneumonia,0.6863,FP,0.1863
data/raw/chest_xray/test/NORMAL/test_normal_00061.jpeg,Normal,Pneumonia,0.6341,FP,0.1341
data/raw/chest_xray/test/NORMAL/test_normal_00062.jpeg,Normal,Pneumonia,0.8165,FP,0.3165
data/raw/chest_xray/test/NORMAL/test_normal_00067.jpeg,Normal,Pneumonia,0.8911,FP,0.3911
data/raw/chest_xray/test/NORMAL/test_normal_00080.jpeg,Normal,Pneumonia,0.8669,FP,0.3669
data/raw/chest_xray/test/NORMAL/test_normal_00087.jpeg,Normal,Pneumonia,0.7526,FP,0.2526
data/raw/chest_xray/test/NORMAL/test_normal_00091.jpeg,Normal,Pneumonia,0.741,FP,0.241
data/raw/chest_xray/test/NORMAL/test_normal_00101.jpeg,Normal,Pneumonia,0.9159,FP,0.4159
data/raw/chest_xray/test/NORMAL/test_normal_00104.jpeg,Normal,Pneumonia,0.7399,FP,0.2399
data/raw/chest_xray/test/NORMAL/test_normal_00105.jpeg,Normal,Pneumonia,0.8753,FP,0.3753
data/raw/chest_xray/test/NORMAL/test_normal_00108.jpeg,Normal,Pneumonia,0.5351,FP,0.0351
data/raw/chest_xray/test/NORMAL/test_normal_00110.jpeg,Normal,Pneumonia,0.6992,FP,0.1992
data/raw/chest_xray/test/NORMAL/test_normal_00113.jpeg,Normal,Pneumonia,0.8125,FP,0.3125
data/raw/chest_xray/test/NORMAL/test_normal_00115.jpeg,Normal,Pneumonia,0.7931,FP,0.2931
data/raw/chest_xray/test/NORMAL/test_normal_00116.jpeg,Normal,Pneumonia,0.686,FP,0.186
data/raw/chest_xray/test/NORMAL/test_normal_00119.jpeg,Normal,Pneumonia,0.9761,FP,0.4761
data/raw/chest_xray/test/NORMAL/test_normal_00120.jpeg,Normal,Pneumonia,0.939,FP,0.439
data/raw/chest_xray/test/NORMAL/test_normal_00121.jpeg,Normal,Pneumonia,0.9762,FP,0.4762
data/raw/chest_xray/test/NORMAL/test_normal_00122.jpeg,Normal,Pneumonia,0.9392,FP,0.4392
data/raw/chest_xray/test/NORMAL/test_normal_00123.jpeg,Normal,Pneumonia,0.971,FP,0.471
data/raw/chest_xray/test/NORMAL/test_normal_00124.jpeg,Normal,Pneumonia,0.9837,FP,0.4837
data/raw/chest_xray/test/NORMAL/test_normal_00126.jpeg,Normal,Pneumonia,0.9784,FP,0.4784
data/raw/chest_xray/test/NORMAL/test_normal_00127.jpeg,Normal,Pneumonia,0.6401,FP,0.1401
data/raw/chest_xray/test/NORMAL/test_normal_00128.jpeg,Normal,Pneumonia,0.9474,FP,0.4474
data/raw/chest_xray/test/NORMAL/test_normal_00129.jpeg,Normal,Pneumonia,0.982,FP,0.482
data/raw/chest_xray/test/NORMAL/test_normal_00130.jpeg,Normal,Pneumonia,0.9762,FP,0.4762
data/raw/chest_xray/test/NORMAL/test_normal_00131.jpeg,Normal,Pneumonia,0.9824,FP,0.4824
data/raw/chest_xray/test/NORMAL/test_normal_00132.jpeg,Normal,Pneumonia,0.9838,FP,0.4838
data/raw/chest_xray/test/NORMAL/test_normal_00133.jpeg,Normal,Pneumonia,0.9843,FP,0.4843
data/raw/chest_xray/test/NORMAL/test_normal_00134.jpeg,Normal,Pneumonia,0.9848,FP,0.4848
data/raw/chest_xray/test/NORMAL/test_normal_00135.jpeg,Normal,Pneumonia,0.9727,FP,0.4727
data/raw/chest_xray/test/NORMAL/test_normal_00136.jpeg,Normal,Pneumonia,0.9456,FP,0.4456
data/raw/chest_xray/test/NORMAL/test_normal_00137.jpeg,Normal,Pneumonia,0.5346,FP,0.0346
data/raw/chest_xray/test/NORMAL/test_normal_00140.jpeg,Normal,Pneumonia,0.9855,FP,0.4855
data/raw/chest_xray/test/NORMAL/test_normal_00141.jpeg,Normal,Pneumonia,0.5866,FP,0.0866
data/raw/chest_xray/test/NORMAL/test_normal_00142.jpeg,Normal,Pneumonia,0.9004,FP,0.4004
data/raw/chest_xray/test/NORMAL/test_normal_00143.jpeg,Normal,Pneumonia,0.9743,FP,0.4743
data/raw/chest_xray/test/NORMAL/test_normal_00144.jpeg,Normal,Pneumonia,0.9834,FP,0.4834
data/raw/chest_xray/test/NORMAL/test_normal_00145.jpeg,Normal,Pneumonia,0.9601,FP,0.4601
data/raw/chest_xray/test/NORMAL/test_normal_00146.jpeg,Normal,Pneumonia,0.9757,FP,0.4757
data/raw/chest_xray/test/NORMAL/test_normal_00147.jpeg,Normal,Pneumonia,0.5656,FP,0.0656
