path,true_label,pred_label,probability,error_type,confidence_margin
data/raw/chest_xray/test/NORMAL/test_normal_00008.jpeg,Normal,Pneumonia,0.9016,FP,0.4016
data/raw/chest_xray/test/NORMAL/test_normal_00011.jpeg,Normal,Pneumonia,0.9745,FP,0.4745
data/raw/chest_xray/test/NORMAL/test_normal_00014.jpeg,Normal,Pneumonia,0.9293,FP,0.4293
data/raw/chest_xray/test/NORMAL/test_normal_00016.jpeg,Normal,Pneumonia,0.9787,FP,0.4787
data/raw/chest_xray/test/NORMAL/test_normal_00040.jpeg,Normal,Pneumonia,0.9362,FP,0.4362
data/raw/chest_xray/test/NORMAL/test_normal_00045.jpeg,Normal,Pneumonia,0.9841,FP,0.4841
data/raw/chest_xray/test/NORMAL/test_normal_00046.jpeg,Normal,Pneumonia,0.6112,FP,0.1112
data/raw/chest_xray/test/NORMAL/test_normal_00047.jpeg,Normal,Pneumonia,0.5227,FP,0.0227
data/raw/chest_xray/test/NORMAL/test_normal_00048.jpeg,Normal,Pneumonia,0.6979,FP,0.1979
data/raw/chest_xray/test/NORMAL/test_normal_00052.jpeg,Normal,Pneumonia,0.9808,FP,0.4808
data/raw/chest_xray/test/NORMAL/test_normal_00056.jpeg,Normal,Pneumonia,0.9836,FP,0.4836
data/raw/chest_xray/test/NORMAL/test_normal_00059.jpeg,Normal,Pneumonia,0.5956,FP,0.0956
data/raw/chest_xray/test/NORMAL/test_normal_00061.jpeg,Normal,Pneumonia,0.8645,FP,0.3645
data/raw/chest_xray/test/NORMAL/test_normal_00062.jpeg,Normal,Pneumonia,0.5176,FP,0.0176
data/raw/chest_xray/test/NORMAL/test_normal_00067.jpeg,Normal,Pneumonia,0.9564,FP,0.4564
data/raw/chest_xray/test/NORMAL/test_normal_00080.jpeg,Normal,Pneumonia,0.8406,FP,0.3406
data/raw/chest_xray/test/NORMAL/test_normal_00104.jpeg,Normal,Pneumonia,0.6142,FP,0.1142
data/raw/chest_xray/test/NORMAL/test_normal_00113.jpeg,Normal,Pneumonia,0.59,FP,0.09
data/raw/chest_xray/test/NORMAL/test_normal_00115.jpeg,Normal,Pneumonia,0.593,FP,0.093
data/raw/chest_xray/test/NORMAL/test_normal_00119.jpeg,Normal,Pneumonia,0.9004,FP,0.4004
data/raw/chest_xray/test/NORMAL/test_normal_00120.jpeg,Normal,Pneumonia,0.9428,FP,0.4428
data/raw/chest_xray/test/NORMAL/test_normal_00121.jpeg,Normal,Pneumonia,0.9817,FP,0.4817
data/raw/chest_xray/test/NORMAL/test_normal_00122.jpeg,Normal,Pneumonia,0.784,FP,0.284
data/raw/chest_xray/test/NORMAL/test_normal_00123.jpeg,Normal,Pneumonia,0.9614,FP,0.4614
data/raw/chest_xray/test/NORMAL/test_normal_00124.jpeg,Normal,Pneumonia,0.982,FP,0.482
data/raw/chest_xray/test/NORMAL/test_normal_00126.jpeg,Normal,Pneumonia,0.9821,FP,0.4821
data/raw/chest_xray/test/NORMAL/test_normal_00129.jpeg,Normal,Pneumonia,0.9524,FP,0.4524
data/raw/chest_xray/test/NORMAL/test_normal_00130.jpeg,Normal,Pneumonia,0.6259,FP,0.1259
data/raw/chest_xray/test/NORMAL/test_normal_00131.jpeg,Normal,Pneumonia,0.9712,FP,0.4712
data/raw/chest_xray/test/NORMAL/test_normal_00132.jpeg,Normal,Pneumonia,0.9614,FP,0.4614
data/raw/chest_xray/test/NORMAL/test_normal_00133.jpeg,Normal,Pneumonia,0.9796,FP,0.4796
data/raw/chest_xray/test/NORMAL/test_normal_00134.jpeg,Normal,Pneumonia,0.9725,FP,0.4725
data/raw/chest_xray/test/NORMAL/test_normal_00135.jpeg,Normal,Pneumonia,0.9696,FP,0.4696
data/raw/chest_xray/test/NORMAL/test_normal_00138.jpeg,Normal,Pneumonia,0.78,FP,0.28
data/raw/chest_xray/test/NORMAL/test_normal_00139.jpeg,Normal,Pneumonia,0.78,FP,0.28
data/raw/chest_xray/test/NORMAL/test_normal_00140.jpeg,Normal,Pneumonia,0.9822,FP,0.4822
data/raw/chest_xray/test/NORMAL/test_normal_00141.jpeg,Normal,Pneumonia,0.8359,FP,0.3359
data/raw/chest_xray/test/NORMAL/test_normal_00142.jpeg,Normal,Pneumonia,0.5385,FP,0.0385
data/raw/chest_xray/test/NORMAL/test_normal_00143.jpeg,Normal,Pneumonia,0.9742,FP,0.4742
data/raw/chest_xray/test/NORMAL/test_normal_00144.jpeg,Normal,Pneumonia,0.9826,FP,0.4826
data/raw/chest_xray/test/NORMAL/test_normal_00145.jpeg,Normal,Pneumonia,0.9682,FP,0.4682
data/raw/chest_xray/test/NORMAL/test_normal_00146.jpeg,Normal,Pneumonia,0.9642,FP,0.4642
data/raw/chest_xray/test/NORMAL/test_normal_00147.jpeg,Normal,Pneumonia,0.7178,FP,0.2178
data/raw/chest_xray/test/NORMAL/test_normal_00153.jpeg,Normal,Pneumonia,0.7319,FP,0.2319
data/raw/chest_xray/test/NORMAL/test_normal_00160.jpeg,Normal,Pneumonia,0.9534,FP,0.4534
data/raw/chest_xray/test/NORMAL/test_normal_00163.jpeg,Normal,Pneumonia,0.6778,FP,0.1778
